musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari,tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis
3902,Candeniz,Erkek,61,Konya,867.2,2024-01-10,P057,Su Şişesi,Elektronik,898.53,18,16173.54
3902,Candeniz,Erkek,61,Konya,867.2,2024-06-06,P098,Kulaklık,Kırtasiye,508.58,6,3051.48
2080,Gözel,Erkek,64,Adana,2020.97,2023-03-24,P014,Fırın,Giyim,1454.8,5,7274.0
2080,Gözel,Erkek,64,Adana,2020.97,2023-12-07,P055,Telefon,Mutfak Ürünleri,369.09,4,1476.36
7901,Erdogan,Kadın,63,İstanbul,4334.16,2023-03-22,P100,Bilgisayar,Kozmetik,913.23,3,2739.69
7901,Erdogan,Kadın,63,İstanbul,4334.16,2024-02-07,P021,Telefon,Kozmetik,865.58,10,8655.800000000001
8958,Sonad,Kadın,39,İzmir,3912.39,2023-09-05,P049,Kulaklık,Giyim,173.9,13,2260.7000000000003
8958,Sonad,Kadın,39,İzmir,3912.39,2023-08-14,P037,Klima,Elektronik,935.69,2,1871.38
8441,Merdi,Kadın,50,İzmir,3961.85,2024-05-21,P098,Mouse,Mutfak Ürünleri,522.53,3,1567.59
9843,Ünübol,Kadın,36,Adana,2112.75,2024-10-06,P031,Kulaklık,Ev Aletleri,147.99,19,2811.8100000000004
9843,Ünübol,Kadın,36,Adana,2112.75,2023-12-19,P030,Telefon,Elektronik,233.91,6,1403.46
9843,Ünübol,Kadın,36,Adana,2112.75,2023-01-16,P027,Defter,Giyim,142.07,17,2415.19
3142,Özpetek,Erkek,29,Bursa,3835.22,2024-06-28,P067,Klima,Mutfak Ürünleri,48.36,3,145.07999999999998
3142,Özpetek,Erkek,29,Bursa,3835.22,2024-08-23,P058,Bilgisayar,Giyim,1357.56,16,21720.96
3142,Özpetek,Erkek,29,Bursa,3835.22,2022-12-05,P057,Kulaklık,Kırtasiye,92.65,4,370.6
9590,Derkay,Erkek,48,İstanbul,1409.98,2024-06-02,P010,Defter,Kırtasiye,1188.23,14,16635.22
9590,Derkay,Erkek,48,İstanbul,1409.98,2023-10-31,P056,Su Şişesi,Mutfak Ürünleri,518.99,1,518.99
4281,Zekayi,Kadın,43,Gaziantep,4597.46,2024-02-16,P052,Mouse,Elektronik,860.08,7,6020.56
4281,Zekayi,Kadın,43,Gaziantep,4597.46,2024-01-31,P039,Kulaklık,Giyim,54.52,15,817.8000000000001
4281,Zekayi,Kadın,43,Gaziantep,4597.46,2023-09-24,P046,Klima,Giyim,1444.58,11,15890.38
6589,Yahşi,Kadın,66,Antalya,2462.47,2024-07-10,P017,Su Şişesi,Mutfak Ürünleri,429.14,12,5149.68
6589,Yahşi,Kadın,66,Antalya,2462.47,2024-04-04,P026,Defter,Ev Aletleri,972.87,1,972.87
6196,Perinur,Kadın,42,Antalya,323.01,2024-04-23,P096,Fırın,Kırtasiye,1476.72,8,11813.76
2845,Sağcan,Erkek,20,İzmir,4938.79,2024-04-19,P023,Telefon,Giyim,1156.15,15,17342.25
2845,Sağcan,Erkek,20,İzmir,4938.79,2024-01-14,P060,Kalem,Ev Aletleri,734.55,15,11018.25
5532,Tandoğdu,Erkek,24,İstanbul,3710.86,2024-07-26,P051,Bilgisayar,Ev Aletleri,419.95,12,5039.4
4885,Sahil,Erkek,52,Adana,1033.66,2024-07-22,P043,Defter,Kozmetik,164.42,5,822.0999999999999
